txt,label
"Having the In-Laws over for the weekend? Then this is the film to hasten their departure, failing that it will induce a catatonic state to bring a welcome relief from constant nagging.<br /><br />The film is supposedly set on board a luxury cruise ship, which is more superannuated car ferry; the plot has more holes than the average colander and a cast dredged from the depths of the celebrity D list. An interesting piece of added amusement is playing ""Spot the Villain"" as passengers join the ship. You won't be wrong!!!! With a script that sinks faster than a brick, clichéd set pieces and copious amounts of raspberry jam doubling as blood this film attempts to encompass the genres of thriller, action movie and gore-fest and simultaneously fails to fulfil any of them.<br /><br />A must watch film, if only to laugh at how bad it is.",neg
"The movie is about two stories: one is a political murder of a call-girl, the other an upper-class political party. The crossing point is the public relation character played by Al Paccino, as he is the witness of the crime and the instigator of the evening.<br /><br />If the script is terrible without any decent dialogs and the directing void of any sense of drama, the performance of Al is memorable: how many fellows can be as much convincing as a powerful and feared man (as ""The Godfather"") as here as a little servant (see also ""Donnie Brasco"").<br /><br />Actually, the big young lion has become a tired old one. This passing of ages is very moving, because it makes the audience ponders about getting old too.<br /><br />But his slowness is only a make-up because he can get back his energy in Church scene.<br /><br />Maybe it is a good thing that the movie is so awful because it put the starlight on Al's talent!",neg
"""CIA Codename:Alexa"" is an absolute horrible rip off of Luc Besson's classic film ""La Femme Nikita""(1990). The film is basically about a woman who is taken in and trained by the CIA and is forced to do a secret mission for them. (Pretty much the same story structure of La Femme Nikita) The acting combo of Lorenzo Lamas and O.J. Simpson is perhaps the worst in cinema history. Lamas' ""acting"" is simply a bad Steven Segal impersonation. Watching Orenthal act in this film is an excruciating experience.<br /><br />The writing and acting is so poor in this film at times it is laughable. There are so many action movie ""conventions"" in the film it is ridiculous: unnecessary car explosions, people flying thru glass windows, terrorists, bad ponytails, etc. The musical score resembles David Michael Frank's score for ""Hard to Kill"" (1990), which furthers the Steven Segal theme of this movie. There is plenty of martial arts in the film, and it is pretty well done for a low budget American production. The mindless action and over the top acting never lets up, and I have to admit I was mildly entertained. <br /><br />Lorenzo Lamas had the look of an action star back in the early 90's but he is certainly no action star, that is why he is doing soap operas and not action blockbusters. My recommendation is that you skip ""CIA Codename:Alexa"" and check out ""La Femme Nikita"" instead.",neg
"Simply put, this is a simplistic and one dimensional film. The title, The Rise to Evil, should tell you that this isn't going to attempt to be anything deep or do much with Hitler's character. Rather, from the first minutes of the movie where we see baby Hitler looking evil with evil music playing the background, we are given a view of Hitler that presents his as a cartoony supervillian, seemingly ripped right out of a Saturday morning TV show. The film REALLY wants to make its case that Hitler was evil but does anyone need a movie to convince them that Hitler was evil? Ultimately, making him such a one-dimensionally evil character is both boring and confusing (one must ask how the inept, phsycotic character in the film cold ever persuade a nation to follow him or be named Time's man of the year). This film had a great opportunity to take a figure who has committed some of the most horrible acts in the 20th century, and try to delve into his mind. Instead, it basically just says, ""Hey! Hitler was evil! Just thought you might like to know..."" over and over again. The great irony is that the film still was attacked for presenting too sympathetic a view of the character. Give me a break.",neg
"A woman (Sylvia Kristel) seduces a 15 year old boy (Eric Brown). They have sex...but it's all tied into some stupid plot or something.<br /><br />Easily one of the most disturbing sex comedies ever. Does anyone realize this movie is making light of child molestation? I suppose it's OK cause it's a teenage boy--if we had one with a man seducing a teenage girl there would (rightfully) be outrage. Sorry, but having it done to a boy doesn't excuse it. It's still sick. I realize Brown was of age (he was actually 18 when this was made) but he LOOKS 15. I just find it disturbing that some people find this OK.<br /><br />Plot aside the acting sucks (Kristel is beautiful--but can't act; Brown is easily one of the worst child actors I've ever seen) and the constant nudity gets boring and isn't even remotely erotic.<br /><br />I saw this drivel at a theatre back in 1981. I was 19 and with my 14 year old cousin (who could easily pass for 18). HE wanted to see it--I didn't but I decideD what the heck? We got in and I actually bought tickets for three teenage boys who were obviously underage. My cousin thought is was boring and the three other kids left halfway through! Let me make this clear--three TEENAGE BOYS left a movie with tons of female nudity! That should give you an idea of how bad this is. I'm surprised this was ever released. A 1 all the way.",neg
"I saw this little magnum opus for the first time very recently, on one of those dollar DVD's that seem to be everywhere nowadays, and was so moved by it that I cannot contain myself. For those who have never seen this mesmerizingly miserable Mexican import, and wish to view it without being prejudiced by anyone else's jaundiced commentary, there are undoubtedly substantial spoilers in what follows. So if you are one of those reckless individuals, stop reading at once and go and watch it for yourself. If you get drunk enough in advance, you might be fortunate enough to pass out before it's over.<br /><br />Begin with the premise that a man may become a werewolf after being bitten by a yeti. No one in the film ventures an explanation as to how this sort of cross-species implantation could occur, and the rest of the movie is even more hopelessly nonsensical. But pour yourself another glass of wine (or whatever you're drinking), and let us proceed.<br /><br />Paul Naschy (our werewolf) has the look of a man fighting a toothache, in a town where the only dentist has traded his supply of Novocaine for a case of cheap whiskey, and has been drunk ever since. (Ain't he the lucky one?) Naschy's facial expression never varies, whether in or out of makeup, and apparently no one gave him any coaching on how to act like a werewolf. Occasionally he tries to imitate the Lon Chaney Jr. crouch, but most of the time he simply strolls around in his black mafia shirt, like just another cool dude with a tad too much facial hair. To be fair, the makeup is actually better than the actor inside of it, but the continuity is infinitely worse. Naschy's werewolf is the only one I can think of that changes shirts twice in the middle of a prowl. He goes from black shirt to red shirt, then back to black, then back to red, then back to black, all in a single, frenzied night. Interestingly enough, he always does the Chaney crouch while wearing the red shirt, and the cool dude walk while wearing the black shirt. And it's only while he is wearing the red shirt that we see much of the fury alluded to in the title. Presumably there's something about that red shirt that just brings out the animal in him.<br /><br />So anyway, after being bitten by the cross-pollinating yeti, the poor schmuck returns home from Tibet to learn that his wife has been sleeping with one of his students. The two illicit lovers try to murder him by adjusting the brakes on his car. He survives the wreck, and makes it home just in time for a full moon. Then, after chewing up his wife and her lover, he wanders off again, and somehow manages to get himself electrocuted. But is that enough? Can they let this tormented wretch rest in peace? Not a chance. He is resurrected by a supposed female scientist with a hardcore S/M fetish, otherwise known as ""The Doctor"" (and definitely not a new incarnation of Doctor Who). She digs him up and whisks him away to her kinky kastle, takes him down to the dungeon, chains him to the wall, and gives him a damn good flogging. Presumably such a string of indignities ought to be enough to put a little fury into any wolfman.<br /><br />After his two-shirted rampage, our wolfman spends most of the rest of the film wandering around the castle, trying to find a way out. (And who can blame him?) In the course of his wanderings, he encounters a bewilderingly incoherent assortment of clichés, including a man dressed in medieval armor, a curiously inept Phantom of the Opera impersonator (supposedly The Doctor's father), and a hard-partying cadre of bondage slaves.<br /><br />So what's it all about, one may reasonably ask? One gets the vague impression that it has something to do with mind control, and involves something The Doctor calls ""chemotrodes."" (Best guess. I really have no idea how it's spelled, if there even is such a thing.) Mercifully, the experiment ends in failure, and most importantly, it ends...before one has time to gnaw one's own leg off.<br /><br />Of course, one doesn't really expect any sense from a film like this, but at least it ought to be good for laughs. This one isn't. Forget it, buddy. There is a creeping sort of anarchy about this film, from its patched-together, tequila-drenched ambiance to its atrocious cinematography and agonizing musical score, that defies even the most sozzled attempts to get any MST3K type laughs out of it. If it's not even good for that, what the hell is it good for? If Montezuma's revenge could have somehow been digitally remastered and put on a DVD, it would have looked exactly like this movie.",neg
"I can't believe it, IMDb really does have every TV show known to man! I have not seen this show in over 20 years. I only remember two episodes, and I barely remember those. I remember that Tony may not been on from the start, because one of the episodes I remember is the one in which everybody trying to get Tony to join, but he rejects them, but typically at the end of the show he becomes a member of Power House, with everybody cheering.<br /><br />The other one I remember is the one where Lolo for some reason pretends to be dead,(complete with funeral and mourners). I don't remember why he plays dead, or how the show ends.<br /><br />This is one of those shows that I convinced myself that I must have dreamed up since no one else had ever heard of it.",neg
"Okay this is stupid,they say their not making another Nightmare film,that this is the ""last"" one...And what do they do?They go on making another one,not that the next one (part7) was BAD,but why do they play us. Anyway this movie made no sense what-so ever,it was extremelly dull,the characters were highly one dimensional,Freddy was another joker,which is very stupid for such a good series.The plot is very,very bad,and this is even worse than part 2 and 5. I didnt get the movie,its a stupid tale in 3-d,pointless!Id say. I hated this film so much i still rmember all the parts i didnt like which was basically the whole film.This is SO different than the prequels,it tries,and tries,but this one tried the hardest,and got slapped back on the face.Again there were hadly any death scenes,although they were different,they sucked bigtime. How can they have gone this far?Didnt they see they made the biggest mistakes at parts 2 and 5?Yet they make this?Its all bout the money,DO NOT SEE THIS SAD EXCUSE FOR A NIGHTMARE SERIES.<br /><br />I GAVE A NIGHTMARE ON ELM STREET SIX (6) 3 out of 10.<br /><br />GOOD POINTS OF MOVIE: Had potential with plot.<br /><br />BAD POINTS OF FILM: Terrible acting/lack of deaths/Too funny to be classified as horror/very confusing.",neg
"I have not seen the first film and if it anything like this have no great desire to. <br /><br />Having just watched it a few hours ago I am struggling to remember a thing about it. <br /><br />From what I remember it's main plot seems to be a group of very annoying people stay at a house with that dodgy old woman from Friday the 13th and are stalked by plank of wood man.<br /><br />Some people die, the film ends, I am starting a law suit against the person who sold me this film as I want compensation for the missing time in my life. <br /><br />I will pay u £1 to take this film off my hands......oh wait I already gave it away to a ""friend"".",neg
"Disney has now made straight-to-video sequels to a good bunch of their many animated features. Two of these were made for their 1991 classic, ""Beauty and the Beast"". Well, these ones aren't really sequels, as they are both set in between the events of the first film. The first of these two straight-to-video films was ""Beauty and the Beast: The Enchanted Christmas"", which seems to be disliked by quite a few fans of its theatrical predecessor, but I think that can usually be expected with sequels. However, this second one, ""Belle's Magical World"", is definitely inferior.<br /><br />The film features three short stories, all of which take place while Belle is in the castle, and the place is under the spell of the enchantress. The first is ""The Perfect Word"", where a misunderstanding at the table between Belle and the Beast leads to trouble, and neither wants to be the first to apologize. The next story is ""Fifi's Folly"", where Fifi and Lumiere's fifth anniversary is coming up, and Lumiere is unprepared, so Belle helps him. However, Fifi sees Lumiere practicing romance with Belle, and thinks they're actually in love. The film ends with ""The Broken Wing"". In this story, Belle takes care of a bird with a broken wing, but a bird in the castle will probably mean trouble if the Beast finds out, as he hates birds! <br /><br />The plot description I gave is for the original VHS version of Disney's third ""Beauty and the Beast"" movie. Apparently, in the DVD version, there is another story added called ""Mrs. Potts's Party"", but I've only seen the original version. However, since I highly doubt that one story would stand out as a classic over the rest, I see no point in watching the special edition. Anyway, the first thing I will say about ""Belle's Magical World"" is that the animation is very 2-dimensional compared to what we're used to from Disney, which would obviously disappoint many people. I didn't like ""Beauty and the Beast: The Enchanted Christmas"" that much, but you certainly can't say the same about its animation. I'm sure the stories in ""Belle's Magical World"" could entertain many kids (mostly younger ones, I think), and each story has a moral, so they could also teach them some valuable lessons. However, for adults, the film really doesn't have a lot. I personally didn't find any good humour in it, found that the constant conflict between Belle and the Beast got tiring, and the stories did not impress me too much at all in any way (they're not very well written). In ""The Perfect Word"", the way Belle says to the Beast, ""You're acting rude... and foolish!"" is a bit cheesy, and I think there are quite a few other cheesy moments in these stories.<br /><br />By the time this straight-to-video movie first came out, I was around eleven or twelve years old. I don't know what I would have thought of it at the time, as I had lost interest in Disney by then, and it would be years before I would gain any of that interest back. Even when this movie was first released, I think I was a bit past the age group it was aimed at. I never saw ""Beauty and the Beast: The Enchanted Christmas"" until a couple months ago, but unlike that film, I never even heard of this one until recently, I think just after seeing the first sequel to Disney's 1991 hit. Well, as much as I like the theatrical original, I wouldn't have been missing much if I never became aware of this film's existence. For little kids, I'm sure ""Belle's Magical World"" can be highly entertaining, and probably somewhat educational with its morals, but I do not recommend it for adult Disney fans.",neg
"<br /><br />I'm not sure who decides what category a movie fits into, but this movie is NOT a horror movie. As for the story, it was fairly interesting, but rather slow. I was especially disappointed with the ending though.<br /><br />**spoiler**<br /><br />Tell me why on Earth does she run over to her uncle's(?) home without at least calling the detective or the police first? She knows exactly what's going on at that point, plus she has a video tape as proof. Instead, she runs over there and starts going nuts and saying ""I know everything, I have proof! You didn't expect proof, did you?!"" Then she acts surprised when her uncle stands up and starts walking over to her as if he's going to harm her. Well DUH! Of course he's going to harm you idiot, you just told him you know everything and have proof to expose everything. What a dumb ending.",neg
"Drew Latham(Ben Affleck)is determined not to be lonely this Christmas. Not only is Drew a millionaire; but also obnoxious and guilty of being very grandiose. Drew goes back to the home he grew up in and offers the family living there, the Valco's, $250,000 to be his ""family"" through the Christmas season. Tom Valco(James Gandolfini)is reluctant, but is greedy enough to take Drew's offer. Christine Valco(Catherine O'Hara)has little to say in the matter, but learns to like having Drew around...not exactly the same sentiment with daughter Alicia(Christina Applegate), but that too has room for change. Drew's girlfriend Missy(Jennifer Morrison)tracks down Drew and wants her folks to meet his family. Genuine fun is in store as a happy Noel becomes a hilarious dysfunctional nightmare. Other members of the cast: Josh Zuckerman, Bill Macy, David Selby and Stephanie Faracy. Affleck is comedic, albeit strange.",neg
"For the life of me I can not understand the blind hype and devotion to this totally unbelievable movie......and I think I have the qualifications to say so.... I am a former Special Operations soldier with 14 years in the ""lifestyle"" ... This movie was totally totally unreal and obviously written by someone that did very little research into life in the Army, in combat or at a team or platoon level.<br /><br />Three EOD guys trouncing around Bagdad on their own????? Get Real... No chain of command????? Get Real... EOD clearing buildings??? Get Real....EOD/ Military Intelligence / Sniper qualified buck sergeant???? Get Real.... Wait... I shot and killed a bad guy and then let two guys take me without firing another shot or being injured at all???? Get Real....I carjack an Iraqi civilian, while I am only armed with a 9 mil, break into another civilians house, get punked by his wife then make it back to camp on foot in the middle of Bagdad at night without as so much as a scratch or confrontation???? Get Real...<br /><br />There is absolutely no adherence to military protocol {Army} and no resemblance at all to any Army unit that I have even encountered. Totally unbelievable and disrespectful to the men and women of EOD who contrary to this poor film are not wild adrenaline seeking yahoos but extremely qualified professionals doing an incredibly hard job.",neg
"This is an installment in the notorious Guinea Pig series. A short lived japanese TV-show, that got cancelled after a psychopath admitted to being inspired in the killing of a young schoolgirl by the show. This short in the series is, like all the other films in the series, practically without any story. A group of guys have captured a young woman. They tie her down and proceeds to torturing her to death while videofilming her. They beat her, pour boiling oil over her, use pliers on her and finally, in ""loving"" closeup, push a needle through her eye. This is the most straightforward of all the Guinea Pig movies, and one of the first. It was probably this film, more than any of the others, that gave Guinea Pig the rumour of being snuff. They certainly gave inspiration to Nicolas Cage's movie ""8 mm."". These movies have gotten quite popular in horror circles. They have progressed to more polished, but equally graphic movies like ""Naked Blood"". They probably fill the void left by the Mondo movies, that got slightly cleaned up and became reality TV. Not recommended, but will probably allure those who will see anything once, and wonder why afterwards, I know I did.",neg
"Written by Stephen King, but this treatment is not as solid as most of his stories on film. A mother and son move into a small Indiana town with a secret. They are Sleepwalkers, feline type creatures that feed on young virgins. This little story has its share of gore and special effects; plus hints of incest.<br /><br />Alice Krige is outstanding as the mother. Others appearing are Madchen Amick, Brian Krause and Cindy Pickett. Look for very small roles for John Landis and Clive Barker. Stephen King cameos as the caretaker of the cemetery.",neg
"I watched the entire movie recognizing the participation of William Hurt, Natascha McElhone, and Desiree Nosbusch. I'm glad that I had no idea of the presence of Peter Weller. At the end of the movie I said ""THAT was Peter Weller?"" Kudos to Mr. Weller for an outstanding performance. Weller played a major character, and his performance was such that I didn't even recognize him.<br /><br />Overall the plot was bad, the writing was bad, and the performances, aside from those of Nosbusch and Weller, were subpar. The scenery and setting were interesting, and Weller was amazing.<br /><br />4 stars, of a possible 10.",neg
"Too many secondary plot lines without a primary one. Too many hot buttons are pushed without any reason, they managed to stuff this boring film, that does not say anything, with every drama element that is out there: death, divorce, money issues, parenting problems, suicide, psychological problems, drug abuse, adoption, rejected love, traveling problems, sex, generations misunderstandings, robbery, legal issues, guns, medical ethics, ""deep real love"" You would think that it would make for an interesting movie, but hell no  all these events are secondary to something primary which is not there. Boring. Not to mention that the ""super-deep"" (and super-long) lecture to the child at the end of the film is a total nonsense. Pity.<br /><br />Oh, forgot to mention: the actors, all of them, are quite good. That's what kept me from turning it off. To bad their talents went to waste, The film is well shot, too: the light, the motion etc. of every episode -- that's all in place. It's just the meaning that's missing.",neg
"I'm sorry, I had high hopes for this movie. Unfortunately, it was too long, too thin and too weak to hold my attention. When I realized the whole movie was indeed only about an older guy reliving his dream, I felt cheated. Surely it could have been a device to bring us into something deeper, something more meaningful.<br /><br />So, don't buy a large drink or you'll be running to the rest room. My kids didn't enjoy it either. Ah well.",neg
